Designator,Mid X,Mid Y,Rotation,Layer
C1,30.45,-45.15,0.0,top
C10,18.7778,-55.84,180.0,bottom
C101,23.7,-25.3,270.0,bottom
C102,10.9,-7.9,0.0,bottom
C103,24.9,-20.65,0.0,bottom
C104,22.8,-20.65,0.0,bottom
C105,18.8,-20.65,180.0,bottom
C106,16.8,-20.65,180.0,bottom
C107,20.9,-20.65,0.0,bottom
C108,26.9,-8.7,270.0,bottom
C109,26.95,-13.825,270.0,bottom
C11,33.05,-48.0,180.0,bottom
C110,14.9,-18.75,270.0,bottom
C111,15.2,-8.6,270.0,bottom
C112,14.9,-15.75,270.0,bottom
C113,15.2,-10.65,90.0,bottom
C114,30.5,-25.1,270.0,bottom
C116,18.3,-25.1,270.0,bottom
C117,27.3,-23.3,180.0,bottom
C118,10.2,-12.6,0.0,bottom
C119,17.8,-9.65,180.0,bottom
C12,22.0,-59.0,180.0,bottom
C120,33.75,-7.45,0.0,bottom
C121,23.7,-10.85,180.0,bottom
C122,32.32,-22.45,0.0,bottom
C123,28.6,-20.95,270.0,bottom
C124,30.1,-20.95,270.0,bottom
C13,21.0,-56.0,0.0,bottom
C14,17.7,-58.3,270.0,top
C15,22.0,-53.0,180.0,bottom
C16,20.5,-59.5,270.0,bottom
C17,18.15,-58.3,270.0,bottom
C18,25.05,-58.95,0.0,bottom
C19,32.55,-68.5,0.0,top
C2,32.0,-53.0,0.0,bottom
C20,26.1,-52.1,180.0,bottom
C21,30.4,-36.8,270.0,bottom
C3,32.0,-59.0,0.0,bottom
C37,9.0,-74.0,90.0,bottom
C38,27.3,-73.95,90.0,bottom
C39,24.2,-73.6,270.0,bottom
C4,35.9,-56.35,90.0,top
C40,18.2,-76.1,0.0,bottom
C41,14.0,-72.2,270.0,bottom
C42,32.6,-71.8,270.0,bottom
C43,9.0,-70.8,270.0,bottom
C44,27.3,-70.95,270.0,bottom
C45,18.45,-73.85,270.0,bottom
C46,30.0,-60.15,270.0,bottom
C47,15.5,-65.7,90.0,bottom
C48,28.95,-56.95,270.0,bottom
C49,13.4,-65.45,90.0,bottom
C5,28.0,-59.0,180.0,bottom
C50,26.55,-49.65,180.0,bottom
C51,29.5,-53.5,90.0,bottom
C52,23.5,-55.5,0.0,bottom
C53,28.5,-52.45,90.0,bottom
C54,29.5,-51.5,90.0,bottom
C55,24.5,-52.5,90.0,bottom
C6,33.0,-56.0,180.0,bottom
C7,30.55,-50.5,270.0,bottom
C8,31.5,-56.45,270.0,bottom
C9,25.65,-57.5,90.0,bottom
FB101,20.7,-23.0,180.0,bottom
FB102,33.25,-8.8,180.0,bottom
FB103,24.3,-9.45,0.0,bottom
FL1,22.5,-68.4,270.0,top
FL2,16.5,-68.4,270.0,top
FL3,19.5,-68.4,270.0,top
J1,22.0,-73.5,180.0,top
J101,22.0,-3.05,0.0,bottom
J2,22.0,-40.0,180.0,bottom
J3,34.9,-73.395,0.0,top
J4,11.1,-52.35,270.0,top
J5,21.95,-35.07,90.0,top
L102,35.2,-20.95,90.0,bottom
L3,11.1,-70.65,90.0,bottom
L4,29.5,-70.5,90.0,bottom
LED1,8.8,-34.7,90.0,top
LED2,11.0,-34.6875,90.0,top
R1,29.65,-68.85,0.0,top
R10,21.0,-62.55,90.0,top
R101,11.725,-17.25,0.0,bottom
R102,33.6875,-17.95,270.0,bottom
R103,12.25,-10.75,270.0,bottom
R107,30.2,-28.55,90.0,bottom
R108,9.15,-7.35,270.0,bottom
R109,21.1,-28.55,90.0,bottom
R11,21.0,-62.55,90.0,bottom
R110,20.4,-9.65,0.0,bottom
R111,17.6,-28.55,90.0,bottom
R112,26.7,-16.75,90.0,bottom
R113,28.7,-16.25,0.0,bottom
R114,22.3,-28.55,270.0,bottom
R115,18.7,-28.55,90.0,bottom
R116,28.1,-28.55,270.0,bottom
R117,26.9,-28.55,90.0,bottom
R118,8.05,-7.35,270.0,bottom
R119,10.9,-6.9,180.0,bottom
R12,22.3,-62.55,90.0,bottom
R120,31.2,-28.55,90.0,bottom
R121,25.6,-16.75,90.0,bottom
R122,13.0,-20.55,270.0,bottom
R123,28.7,-15.2,0.0,bottom
R124,28.8,-10.15,0.0,bottom
R125,28.8,-12.2,0.0,bottom
R126,28.8,-11.15,0.0,bottom
R127,26.4,-20.65,270.0,bottom
R128,27.4,-20.65,90.0,bottom
R129,28.7,-18.75,180.0,bottom
R13,22.3,-62.55,90.0,top
R130,14.9,-14.15,0.0,bottom
R131,31.5875,-17.95,270.0,bottom
R132,32.5875,-17.95,90.0,bottom
R14,23.3,-62.55,90.0,top
R15,23.3,-62.55,90.0,bottom
R16,24.55,-62.55,90.0,bottom
R17,24.55,-62.55,90.0,top
R18,25.55,-62.55,90.0,top
R19,25.55,-62.55,90.0,bottom
R2,20.0,-64.75,90.0,bottom
R20,29.05,-50.0,0.0,bottom
R21,29.5,-48.45,90.0,bottom
R22,29.0,-47.0,180.0,bottom
R23,30.45,-47.5,270.0,bottom
R24,31.5,-47.5,270.0,bottom
R25,14.2,-39.3,0.0,top
R26,14.2,-40.4,0.0,top
R27,26.9,-46.9,180.0,bottom
R28,26.95,-62.8,90.0,bottom
R29,28.0,-62.8,90.0,bottom
R3,21.0,-64.75,90.0,bottom
R30,29.05,-62.8,90.0,bottom
R31,28.0,-62.8,90.0,top
R32,26.95,-62.8,90.0,top
R33,29.05,-62.8,90.0,top
R34,27.5,-54.5,270.0,bottom
R35,26.5,-54.5,270.0,bottom
R36,8.8,-34.7,90.0,bottom
R37,11.0,-34.6875,90.0,bottom
R38,18.95,-48.0,180.0,bottom
R39,18.8,-44.7,0.0,top
R4,22.3,-64.75,90.0,bottom
R40,20.85,-44.7,0.0,top
R41,21.0,-47.95,180.0,bottom
R42,22.0,-47.0,180.0,bottom
R43,23.0,-50.0,180.0,bottom
R44,25.0,-48.0,180.0,bottom
R45,25.1,-44.7,0.0,top
R46,27.2,-44.7,0.0,top
R47,18.9778,-51.54,0.0,bottom
R48,33.05,-47.0,0.0,bottom
R49,16.7,-74.8,0.0,bottom
R5,23.3,-64.75,90.0,bottom
R50,28.2,-45.3,90.0,bottom
R6,24.55,-64.75,90.0,bottom
R63,26.55,-76.0,180.0,bottom
R64,25.7,-74.0,270.0,bottom
R65,24.3,-75.6,0.0,bottom
R66,9.3,-76.1,0.0,bottom
R67,11.2,-76.1,0.0,bottom
R68,31.0,-76.0,0.0,bottom
R69,29.0,-76.0,180.0,bottom
R7,25.55,-64.75,90.0,bottom
R70,13.0,-72.2,90.0,bottom
R71,12.9,-74.2,90.0,bottom
R72,31.5,-71.8,90.0,bottom
R73,31.5,-73.79,90.0,bottom
R74,10.5,-68.2,180.0,bottom
R75,10.5,-67.2,180.0,bottom
R76,29.9,-67.5,90.0,bottom
R77,28.7,-67.5,90.0,bottom
R78,16.35,-72.65,0.0,bottom
R79,16.35,-73.75,0.0,bottom
R8,20.0,-62.55,90.0,bottom
R9,20.0,-62.55,90.0,top
TP103,35.5,-7.05,0.0,top
TP104,10.0,-21.85,0.0,top
TP105,16.5,-27.15,0.0,top
TP106,10.1,-10.45,0.0,top
TP107,10.0,-19.55,0.0,top
TP108,35.5,-8.725,0.0,top
TP109,8.4,-10.45,0.0,top
U1,27.0,-53.5,0.0,top
U101,21.82,-13.68,180.0,top
U102,21.0,-25.7,0.0,bottom
U103,9.65,-10.1,180.0,bottom
U104,27.8375,-25.65,0.0,bottom
U105,10.35,-20.75,180.0,bottom
U106,32.2,-20.35,180.0,bottom
U2,30.67,-44.9,0.0,bottom
U6,11.1,-74.0,90.0,bottom
U7,29.55,-74.025,90.0,bottom
U8,21.3,-73.9,0.0,bottom
X1,19.0278,-53.69,180.0,bottom
X101,17.9,-12.1,0.0,bottom
X2,32.65,-50.5,270.0,bottom
